hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
8,38,0,0.86469,0.86461,0.86464,-3,23,5,8,0.86472,0.86456,48.17655038933239,51.82344961066761,117474428,16,18,15,2,0,1,9,3,4,5,8750000,8400000,7000000,4980769,3791667,3585470,3120000,2934211,2855072,2581395,-15,-13,0,-1,3,1,-11,2,-7,-2,9333333,9333333,4914634,3713483,3679487,3263158,3000000,2918750,2714286,2513514
8,39,1,0.86484,0.86472,0.86461,11,24,23,12,0.86482,0.86461,50.18548642524407,49.814513574755935,264932056,29,28,27,25,1,21,20,4,5,0,14000000,14000000,14000000,14000000,5551084,5166667,4916667,4407484,4314540,3698413,-9,-12,-10,-11,-7,-4,-8,14,8,15,14000000,8750000,7875000,7500000,7280000,7000000,7000000,4623932,4382682,4316176
8,40,1,0.8651,0.86495,0.86472,23,23,38,15,0.86495,0.86478,44.17815277705392,55.82184722294608,231571647,33,38,35,32,20,3,24,6,18,21,14000000,8750000,8400000,8400000,4091205,4000000,3952237,3884615,3788546,3574194,-8,31,7,-1,27,29,26,22,24,6,8750000,4151786,3869055,3818182,3619681,3550781,3548583,3511737,3498000,3426966
8,41,1,0.86513,0.86496,0.86495,1,25,18,17,0.86508,0.8649,50.530531486881735,49.469468513118265,176094732,17,15,14,16,19,0,13,-1,2,-3,8166667,7388889,7250000,7000000,7000000,5581928,4500000,3358859,3342105,3260784,-3,-8,-7,-5,-4,7,6,-1,10,11,10500000,8166667,7875000,7777778,7000000,4452323,3680912,3656250,3333333,3306604
8,42,1,0.86517,0.86499,0.86496,3,31,22,18,0.86511,0.86493,50.62660191300368,49.373398086996325,216623421,20,25,3,16,19,-6,-5,1,4,-1,14000000,7000000,4551637,4479167,4117647,3992647,3980519,3947368,3793696,3782609,-11,-8,-10,-13,-4,11,13,17,5,15,9333333,7000000,7000000,7000000,6200000,3688279,3620066,3529570,3331019,3277244
8,43,1,0.86514,0.86506,0.86499,7,21,15,8,0.86516,0.86497,55.707507773648295,44.292492226351705,151282571,19,20,18,16,5,3,4,6,13,2,7777778,7636364,7000000,6500000,4790281,4034910,4027088,3518127,2678571,2512500,-10,-13,-11,-12,3,2,1,4,0,-1,14000000,14000000,7035714,7000000,4117587,4087891,3347188,3344101,3093458,3011345
8,44,0,0.86513,0.86503,0.86506,-3,25,7,10,0.86516,0.86498,48.88182419410165,51.11817580589835,120899459,14,16,15,0,1,-1,2,5,-2,3,7500000,7179487,7140000,4867110,4067913,3693305,3447080,3028391,2874332,2744813,-15,-13,-14,1,-1,0,-2,2,-9,-4,8000000,7583333,7411765,3994253,3600840,3500000,3362500,3322581,2666667,2644068
8,45,0,0.86501,0.86493,0.86503,-10,37,2,8,0.86514,0.86495,54.85881526793741,45.14118473206259,223701703,11,16,-11,6,7,8,-10,-12,-3,-13,10500000,9333333,5275216,5049180,4761905,4411765,4044484,4000000,3905882,3804965,-27,-28,-25,-29,-26,0,-24,-11,-12,-13,14000000,14000000,7700000,7700000,7466667,5933333,4428571,4002151,3983391,3762542
8,46,0,0.86506,0.86489,0.86493,-4,32,15,17,0.86506,0.86483,48.65572873926649,51.34427126073351,250778589,16,23,19,21,17,18,14,22,-1,-3,14000000,10500000,9333333,8400000,8166667,7291667,7055556,7000000,4159041,3688917,-7,-9,-12,-11,-8,-15,-13,-10,10,6,10500000,8750000,8166667,8000000,7583333,7411765,7333333,7000000,3736607,3637450
8,47,1,0.86502,0.86493,0.86489,4,37,13,9,0.8651,0.86494,43.60427123341563,56.39572876658437,197350020,13,14,17,12,11,-11,-9,-5,1,-2,10500000,8750000,7000000,7000000,5750000,3584967,3569182,3436992,3261168,3225240,-22,-28,-21,-2,-18,-1,2,0,-14,-11,7636364,7000000,5250000,3460764,3420455,3368030,3287402,3167873,3064103,3030303
8,48,1,0.86511,0.86499,0.86493,6,30,18,12,0.86512,0.86492,60.32123737249743,39.67876262750257,202864441,21,20,23,22,5,4,6,9,3,-2,9333333,7388889,7350000,7000000,3606729,3563736,3464845,3398603,3220764,3081395,-13,-14,-16,-12,-11,-15,-10,-18,9,-7,10500000,10500000,9333333,9333333,8750000,8400000,7000000,7000000,4191288,3857143
8,49,1,0.86524,0.86506,0.86499,7,30,25,18,0.86519,0.86499,52.80450637371536,47.195493626284645,194223217,23,18,20,22,15,-1,2,-2,6,3,10500000,8000000,7411765,7000000,6000000,3788618,3266949,3223256,3182928,3147303,-11,-10,-12,-7,-4,-5,-2,10,6,12,10500000,8400000,8166667,7777778,7500000,7250000,4000000,3708538,3219844,3206989
8,50,0,0.86511,0.86505,0.86506,-1,34,5,6,0.86521,0.86501,56.88930949981593,43.11069050018407,190933910,15,14,12,17,20,-3,-5,-2,0,6,8000000,7538462,7000000,7000000,7000000,3639785,3479310,3414423,3304290,3002857,-28,-20,-25,-23,-24,-26,-9,-7,-4,-5,14000000,14000000,10500000,10500000,8750000,7000000,3813187,3127252,3126667,2924528
8,51,1,0.86519,0.86508,0.86505,3,28,14,11,0.86522,0.86503,58.87811553364808,41.12188446635192,174036156,17,15,13,11,12,1,0,3,8,2,10500000,7000000,7000000,4000000,3130435,3081579,3070833,3052239,2972973,2961315,-16,-15,-11,-14,-12,-17,-1,-6,1,2,14000000,10500000,9333333,8000000,7000000,7000000,3573499,3333095,3202675,3139175
8,52,0,0.86512,0.86502,0.86508,-6,34,6,10,0.86519,0.86501,55.751930054989565,44.24806994501044,194641475,13,15,16,11,-8,7,-1,-6,-3,0,8750000,8000000,7000000,4142857,3385475,3268750,3213889,3111554,3094633,2991259,-18,-24,-19,-21,-15,-1,-8,3,-16,0,14000000,10500000,10500000,9333333,5625000,3296460,3150877,3059055,3052632,3036982
8,53,0,0.86519,0.86488,0.86502,-14,40,20,31,0.86513,0.86491,46.79926027082916,53.20073972917084,262751839,7,8,12,4,5,10,14,6,15,-11,14000000,14000000,14000000,8750000,8750000,8750000,8400000,7000000,7000000,3170863,-4,-7,-2,-5,-8,-6,-9,16,15,10,14000000,14000000,10500000,9333333,8400000,7777778,7000000,3638057,3368379,3204139
8,54,1,0.86514,0.86501,0.86488,13,26,26,13,0.86513,0.86492,49.81391416404214,50.18608583595786,188000069,25,19,21,22,20,4,5,1,3,6,14000000,8750000,8400000,7777778,7636364,3632720,3343103,3171674,3126050,3092421,-7,-9,-8,-13,-10,7,6,5,8,-6,14000000,9333333,8750000,7304348,7291667,3682186,3511516,3422787,3215736,3000000
8,55,1,0.86521,0.86511,0.86501,10,25,20,10,0.86521,0.86501,45.612269540935706,54.38773045906429,193522872,20,23,21,28,18,16,17,-1,1,6,14000000,9333333,8400000,7000000,6211538,5315789,5111111,3933121,3494024,3474659,-9,-15,-13,-12,-10,5,1,3,0,-1,8875000,8250000,4888889,4882353,3687500,3536212,3471366,3372263,3359967,3134831
8,56,1,0.86526,0.8652,0.86511,9,30,15,6,0.86531,0.86509,54.24941886430085,45.75058113569915,245796292,26,27,29,30,20,13,2,-2,7,0,14000000,10500000,8750000,7777778,4203125,3531694,3516151,3510460,3337033,3166667,-21,-23,-24,-19,-22,-20,-4,6,-2,10,14000000,14000000,10500000,9333333,7700000,7000000,3717177,3226103,3218992,3178241
8,57,1,0.86546,0.86531,0.8652,11,23,26,15,0.86538,0.8652,45.43792298790381,54.5620770120962,168728377,26,25,33,24,7,21,-2,11,19,14,10500000,8000000,7000000,3666667,3659453,3416667,3333333,3273279,3269362,2930599,16,13,-7,12,11,17,-3,19,1,3,3854027,3813113,3333333,3290966,3202811,3121277,3111111,3062500,3058824,2620000
8,58,0,0.86535,0.86517,0.86531,-14,46,9,18,0.86542,0.86521,40.16443386245688,59.83556613754312,216086270,5,11,7,10,6,12,9,14,-18,-8,8750000,8750000,8000000,7350000,7333333,7233333,7000000,7000000,4597015,3750958,-28,-23,0,3,2,-10,-5,-14,-8,-2,10500000,7000000,3320874,3211180,2877778,2867293,2742271,2715789,2701299,2604386
8,59,1,0.86534,0.86519,0.86517,2,34,17,15,0.86538,0.86519,38.9208247122454,61.0791752877546,179040145,13,11,14,15,16,19,-1,-4,-7,-12,7583333,7583333,7466667,7000000,7000000,7000000,3279475,3192188,3153807,3000000,-1,8,4,-18,-6,3,-14,1,2,0,3307135,3216049,3089216,3000000,2975349,2771450,2746667,2730726,2699203,2696569
9,0,1,0.86528,0.8652,0.86519,1,25,9,8,0.86533,0.86516,32.61251210065648,67.38748789934353,165853605,17,14,18,16,15,20,12,11,8,10,10500000,9333333,9333333,8166667,8000000,8000000,4500000,3875000,3656667,3559055,0,-2,-7,1,-5,-14,2,3,-13,-1,3081679,3029070,3014834,2951763,2817687,2727273,2701370,2575301,2542553,2538043
