hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
8,38,1,1.11279,1.11274,1.11273,1,17,6,5,1.11282,1.11268,46.720559729522826,53.27944027047717,125109856,4,13,3,12,11,2,1,10,-1,5,8841509,8400000,7936111,7777778,7000000,5908000,5799767,4250000,2000000,2000000,-12,-11,1,-10,-1,0,2,-2,3,-7,8400000,7875000,7842708,7250000,6270000,6150000,3982759,2573333,2000000,2000000
8,39,0,1.11276,1.11272,1.11274,-2,20,2,4,1.11283,1.11268,45.04299525679391,54.95700474320609,177453179,2,13,12,8,7,11,10,9,0,1,8808708,8000000,7875000,7700000,7700000,7583333,7291667,7212121,6377612,6129832,-4,-13,-16,-14,-15,-1,-2,-12,-3,0,8519505,7583333,7538462,7280000,7233333,6712427,6061011,5583333,5288537,4618182
8,40,1,1.11287,1.11279,1.11272,7,19,15,8,1.11286,1.11271,50.451407160186605,49.5485928398134,271608452,18,4,19,15,14,16,17,20,9,10,10500000,10054201,8000000,8000000,7733333,7700000,7700000,7636364,6985669,6268817,2,11,-8,-11,-4,-5,-7,-10,-3,-9,10598112,10309032,8400000,8400000,7777778,7538462,7304348,7189189,7111111,7000000
8,41,0,1.11285,1.11278,1.11279,-1,23,8,7,1.11289,1.11275,51.63133414767349,48.36866585232651,252006893,3,8,14,9,15,-5,12,10,-4,4,9140127,7885714,7700000,7538462,7538462,7391398,7368421,7000000,6731734,6372650,0,-12,-10,-11,-13,-14,-15,-5,-16,5,10892891,9333333,9000000,7500000,7411765,7318182,7233333,7228962,7000000,6979381
8,42,1,1.11289,1.11284,1.11278,6,16,16,5,1.11286,1.11272,50.75425982966901,49.24574017033099,274938810,9,14,22,24,25,21,20,19,15,6,11284788,8672764,8166667,7777778,7583333,7184211,7162791,6913793,6004032,5906009,-11,4,-10,-6,13,-7,-1,-8,9,-5,14000000,10931604,10500000,10000000,8563514,7538462,7284211,7000000,6911634,6716667
8,43,1,1.11298,1.11288,1.11284,4,23,14,10,1.11298,1.11282,50.522016940952255,49.47798305904775,273448501,19,8,18,17,15,16,14,5,-3,-2,9333333,8547926,8400000,7700000,7411765,7333333,7259259,7200808,6176471,6122078,-13,-2,8,-11,-8,-10,-9,9,11,3,10500000,9869718,8721556,8166667,8000000,8000000,7269231,6705675,6097297,5873427
8,44,1,1.113,1.11293,1.11288,5,20,12,7,1.11303,1.11288,46.08218113429043,53.91781886570957,217175367,3,9,15,14,11,13,10,12,8,2,9645610,9333333,9333333,8400000,7291667,7241379,7194444,7125000,6272727,5779740,-5,0,-12,-13,-11,-9,-8,1,-7,3,9840000,9346396,8750000,8000000,7118644,6352941,6077922,5823310,5659091,5303806
8,45,1,1.11305,1.11297,1.11293,4,21,12,8,1.11306,1.11291,41.8501901559416,58.1498098440584,282093999,13,17,-4,7,15,19,2,14,12,16,14000000,14000000,9354545,9017708,8750000,8166667,7768817,7333333,7333333,7000000,-6,-12,5,-13,-9,-11,6,-8,0,3,9933735,8750000,8408242,8400000,7777778,7500000,7272121,6750000,5740559,4929630
8,46,1,1.11334,1.11328,1.11297,31,18,37,6,1.11323,1.11308,47.20228440980197,52.79771559019803,432943686,42,40,41,18,33,38,9,13,37,23,14000000,14000000,10500000,8839865,8750000,8400000,8186047,7727891,7700000,7691398,14,23,-1,-9,19,-8,-7,-10,-12,9,9563636,9000875,8971429,8750000,8255894,8000000,8000000,8000000,7466667,6842308
8,47,0,1.11331,1.11313,1.11328,-15,44,10,18,1.11339,1.11325,45.53701777520645,54.46298222479355,322038735,5,4,-6,6,-23,1,3,0,-22,-12,14000000,14000000,8912052,8400000,8350515,7636364,7368421,7142857,6856767,6621325,-15,1,2,-26,-24,-25,-4,-9,-12,4,10130314,7749200,7487921,7437500,7212121,7142857,6182979,6034101,4906069,4777704
