hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
8,38,0,1.11527,1.11494,1.11509,-15,63,18,33,1.11525,1.11501,53.54392181396645,46.45607818603355,85976276,29,0,4,-6,3,-4,2,1,-2,-9,6666667,3827160,3000000,2112150,2000000,1847458,1821429,1666667,1621495,1548485,-30,-27,-9,-4,3,-5,2,4,13,1,7500000,5000000,3666667,3617188,2292857,2200000,1932692,1908197,1900000,1772727
8,39,0,1.11511,1.11482,1.11494,-12,59,17,29,1.11513,1.11483,33.463285680581514,66.5367143194185,177074139,17,30,27,28,31,18,23,16,33,8,10000000,10000000,7500000,5625000,5500000,5000000,5000000,5000000,5000000,2669355,-30,-11,-17,-20,-4,-9,17,3,-2,1,5714286,3290476,3000000,2800000,2282540,2020833,1900000,1851759,1816667,1796458
8,40,0,1.11493,1.11464,1.11482,-18,86,12,29,1.11508,1.11475,50.68714880862657,49.31285119137343,268116815,10,31,25,29,7,13,27,32,26,9,10000000,10000000,6666667,6250000,5833333,5000000,5000000,5000000,5000000,4400000,-53,-51,-48,-56,-50,-32,-47,-57,-55,-52,10000000,10000000,6666667,6666667,6000000,6000000,5454545,5000000,5000000,5000000
8,41,0,1.11479,1.11448,1.11464,-16,78,15,31,1.11489,1.11457,47.5323538311504,52.4676461688496,205247254,19,21,28,8,17,12,15,20,0,-3,7500000,6666667,6666667,6250000,6250000,5714286,5250000,5000000,3534483,3108108,-43,-36,-35,-47,-38,-34,-20,-19,-17,-16,10000000,10000000,10000000,6666667,5500000,5000000,2689189,2548387,2511947,2363189
8,42,0,1.11478,1.11448,1.11448,0,75,30,30,1.11487,1.1145,45.42491238819025,54.57508761180975,274846223,24,25,33,21,11,12,17,15,28,26,10000000,10000000,10000000,7500000,6666667,6250000,6000000,5227273,5000000,5000000,-31,-33,-44,-38,-22,-45,-35,-29,-30,-41,10000000,7500000,7500000,7500000,6500000,6250000,5357143,5000000,5000000,5000000
8,43,1,1.11476,1.11451,1.11448,3,62,28,25,1.11482,1.1145,48.512608625114254,51.48739137488575,160635159,32,28,27,25,31,29,3,1,2,9,10000000,6250000,6000000,5833333,5454545,5312500,3254989,2653313,2523346,2500000,-37,-35,-34,-32,-30,-33,-13,-9,-15,-2,10000000,7500000,6250000,5714286,5000000,5000000,3000000,2401709,2214286,2203498
8,44,1,1.11475,1.11454,1.11451,3,60,24,21,1.1148,1.1145,42.12558066832068,57.87441933167932,160781976,32,28,33,31,30,27,35,4,9,-1,10000000,10000000,10000000,5714286,5625000,5333333,5000000,3000000,2837500,2350884,-35,-38,-30,-39,-32,-34,-5,-3,-16,-9,5416667,5161290,5000000,5000000,5000000,5000000,2658519,2571674,2230769,2224444
8,45,1,1.11501,1.1147,1.11454,16,61,47,31,1.11493,1.11459,51.35144373192505,48.64855626807495,203857063,41,38,31,44,40,26,22,2,17,29,10000000,7500000,6666667,5625000,5000000,3142857,3000000,2853723,2816054,2625000,-15,-30,-14,-10,-12,-22,-23,-7,1,14,10000000,6666667,5833333,5454545,5000000,5000000,5000000,4000000,3885246,2693069
8,46,1,1.11513,1.11489,1.1147,19,52,43,24,1.11505,1.11472,42.55584443344807,57.44415556655193,227175955,43,35,48,39,46,50,44,37,38,36,10000000,7500000,6250000,6250000,6000000,5833333,5833333,5625000,5555556,5500000,-25,-23,-18,-28,-27,-20,-26,3,-2,2,10000000,10000000,6666667,6666667,5833333,5000000,5000000,3312888,3157895,2315054
8,47,0,1.11505,1.11462,1.11489,-27,82,23,43,1.11508,1.11474,58.94109581060022,41.05890418939978,257681519,21,14,19,4,22,12,11,26,-6,-3,10000000,6666667,6000000,6000000,5500000,5357143,5227273,5000000,3177158,3025862,-31,-37,-38,-23,-27,-24,-34,-39,-35,-29,10000000,10000000,10000000,10000000,7500000,7500000,6250000,5714286,5000000,5000000
