symbol,ATL,ATH,accuracy
EURUSD,0.8,1.61,'0.00001'
EURGBP,0.82,1.12274,'0.00001'
GBPCHF,1.0,1.6,'0.00001'
GBPUSD,1.1,1.7,'0.00001'
USDCHF,0.75,1.1,'0.00001'
USDJPY,75.0,150.0,'0.001'
EURJPY,90.0,170.0,'0.001'
EURCHF,0.9,1.3,'0.00001'
GBPJPY,110.0,250.0,'0.001'
USDCAD,0.9,1.4,'0.00001'
AUDUSD,0.58,1.0,'0.00001'
NZDUSD,0.48,0.88,'0.00001'
CADJPY,71,122,'0.001'
NZDJPY,56,93,'0.001'
AUDCAD,0.76,1.06,'0.00001'
EURCAD,1.20,1.70,'0.00001'
AUDNZD,1,1.36,'0.00001'
CHFJPY,75,162,'0.001'
NZDCAD,0.76,0.98,'0.00001'
GBPCAD,1.46,2.0,'0.00001'
GBPNZD,1.68,2.42,'0.00001'
AUDCHF,0.56,1.02,'0.00001'
NZDCHF,0.53,0.8,'0.00001'
CADCHF,0.63,1.0,'0.00001'
EURCNH,6.6,8.67,'0.00001'
AUDJPY,65,108,'0.001'
USDCNH,6,7.35,'0.00001'
GBPAUD,1.43,2.16,'0.00001'
EURAUD,1.15,2,'0.00001'
EURNZD,1.41,1.9,'0.00001'
